State,District,Clinton total,Trump Total,Difference Clinton-Trump
AL,AL-1,103364,192634,-89270
AL,AL-2,94299,185505,-91206
AL,AL-3,93300,188477,-95177
AL,AL-4,50722,233661,-182939
AL,AL-5,97159,200571,-103412
AL,AL-6,86116,233493,-147377
AL,AL-7,204586,83915,120671
AK,State,116454,163387,-46933
AZ,AZ-1,132874,135928,-3054
AZ,AZ-2,156676,141196,15480
AZ,AZ-3,130466,67952,62514
AZ,AZ-4,82192,202043,-119851
AZ,AZ-5,121280,191432,-70152
AZ,AZ-6,143571,177332,-33761
AZ,AZ-7,117958,37232,80726
AZ,AZ-8,120992,190163,-69171
AZ,AZ-9,155158,109123,46035
AR,AR-1,78688,169438,-90750
AR,AR-2,127883,160782,-32899
AR,AR-3,89081,180921,-91840
AR,AR-4,84842,173731,-88889
CA,CA-1,114727,176358,-61631
CA,CA-2,238157,80545,157612
CA,CA-3,138882,105860,33022
CA,CA-4,138790,190924,-52134
CA,CA-5,210950,74088,136862
CA,CA-6,168687,59549,109138
CA,CA-7,159066,124249,34817
CA,CA-8,92234,127464,-35230
CA,CA-9,134719,90484,44235
CA,CA-10,116335,109145,7190
CA,CA-11,223559,70869,152690
CA,CA-12,309221,31158,278063
CA,CA-13,291926,22743,269183
CA,CA-14,229008,54229,174779
CA,CA-15,198964,68808,130156
CA,CA-16,98504,61813,36691
CA,CA-17,183801,50926,132875
CA,CA-18,246015,67808,178207
CA,CA-19,187828,55371,132457
CA,CA-20,180486,59573,120913
CA,CA-21,73773,52972,20801
CA,CA-22,102292,125089,-22797
CA,CA-23,88314,142351,-54037
CA,CA-24,176979,113887,63092
CA,CA-25,137491,119249,18242
CA,CA-26,169083,105259,63824
CA,CA-27,174544,74984,99560
CA,CA-28,208645,64607,144038
CA,CA-29,152517,32963,119554
CA,CA-30,209149,77701,131448
CA,CA-31,131960,83701,48259
CA,CA-32,146459,60921,85538
CA,CA-33,239982,93706,146276
CA,CA-34,154259,19784,134475
CA,CA-35,127757,50822,76935
CA,CA-36,123795,103051,20744
CA,CA-37,236621,26608,210013
CA,CA-38,166224,68033,98191
CA,CA-39,140230,116782,23448
CA,CA-40,135472,21077,114395
CA,CA-41,126197,68526,57671
CA,CA-42,111103,143175,-32072
CA,CA-43,183434,39039,144395
CA,CA-44,164251,24261,139990
CA,CA-45,162449,144713,17736
CA,CA-46,119762,50403,69359
CA,CA-47,161743,80162,81581
CA,CA-48,152035,146595,5440
CA,CA-49,159081,135576,23505
CA,CA-50,115864,159822,-43958
CA,CA-51,147603,46825,100778
CA,CA-52,191325,117057,74268
CA,CA-53,200237,91822,108415
CO,CO-1,277790,93486,184304
CO,CO-2,264966,164769,100197
CO,CO-3,151057,195966,-44909
CO,CO-4,137784,230945,-93161
CO,CO-5,123537,212558,-89021
CO,CO-6,191099,157115,33984
CO,CO-7,192637,147645,44992
CT,CT-1,195305,119395,75910
CT,CT-2,165799,155975,9824
CT,CT-3,179832,129968,49864
CT,CT-4,195494,119976,75518
CT,CT-5,161142,147901,13241
DE,DE-1,33351,36991,-3640
DE,DE-2,162919,85525,77394
DE,DE-3,39333,62611,-23278
FL,FL-1,107063,256609,-149546
FL,FL-2,108636,234991,-126355
FL,FL-3,141362,197478,-56116
FL,FL-4,143675,261826,-118151
FL,FL-5,191194,111892,79302
FL,FL-6,151453,215941,-64488
FL,FL-7,186658,160178,26480
FL,FL-8,151412,234648,-83236
FL,FL-9,195368,149352,46016
FL,FL-10,194934,110062,84872
FL,FL-11,133448,266256,-132808
FL,FL-12,147759,218487,-70728
FL,FL-13,178892,167348,11544
FL,FL-14,188870,128797,60073
FL,FL-15,144225,177635,-33410
FL,FL-16,170442,213271,-42829
FL,FL-17,123919,220156,-96237
FL,FL-18,168558,203771,-35213
FL,FL-19,143001,227097,-84096
FL,FL-20,231596,52251,179345
FL,FL-21,206239,137490,68749
FL,FL-22,202355,146228,56127
FL,FL-23,209079,120967,88112
FL,FL-24,219783,40817,178966
FL,FL-25,126668,131319,-4651
FL,FL-26,164252,117205,47047
FL,FL-27,174132,115814,58318
GA,GA-1,110190,151996,-41806
GA,GA-2,136455,107361,29094
GA,GA-3,102155,200624,-98469
GA,GA-4,224907,66433,158474
GA,GA-5,259805,36385,223420
GA,GA-6,155077,160022,-4945
GA,GA-7,132012,150845,-18833
GA,GA-8,91360,168193,-76833
GA,GA-9,57468,231194,-173726
GA,GA-10,112691,193030,-80339
GA,GA-11,116457,198813,-82356
GA,GA-12,108937,152204,-43267
GA,GA-13,213936,80157,133779
GA,GA-14,56513,191849,-135336
HI,HI-1,132009,63916,68093
HI,HI-2,134882,64931,69951
ID,ID-1,91284,229034,-137750
ID,ID-2,98481,180021,-81540
IL,IL-1,245908,69956,175952
